operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1540223190574|1540223185701|101|0|246370
LdbcQuery8|1540223190820|1540223185803|0|0|492740
LdbcQuery8|1540223191067|1540223185804|0|0|739110
LdbcQuery8|1540223191313|1540223185805|0|0|985480
LdbcQuery11|1540223191412|1540223185806|7|0|1084028
LdbcQuery8|1540223191559|1540223185813|0|0|1231850
LdbcQuery1|1540223191609|1540223185814|4|0|1281124
LdbcQuery8|1540223191806|1540223185818|0|0|1478220
LdbcQuery8|1540223192052|1540223185819|0|0|1724590
LdbcQuery4|1540223192101|1540223185820|2|0|1773864
LdbcQuery2|1540223192151|1540223185823|1|0|1823138
LdbcQuery7|1540223192200|1540223185824|1|0|1872412
LdbcQuery10|1540223192299|1540223185826|3|0|1970960
LdbcQuery8|1540223192299|1540223185829|0|0|1970960
LdbcQuery11|1540223192496|1540223185830|1|0|2168056
LdbcQuery12|1540223192496|1540223185832|8|0|2168056
LdbcQuery8|1540223192545|1540223185841|0|0|2217330
LdbcQuery8|1540223192791|1540223185841|0|0|2463700
LdbcQuery1|1540223192890|1540223185842|2|0|2562248
LdbcQuery8|1540223193038|1540223185845|0|0|2710070
LdbcQuery8|1540223193284|1540223185846|0|0|2956440
LdbcQuery8|1540223193530|1540223185846|0|0|3202810
LdbcQuery11|1540223193580|1540223185847|1|0|3252084
LdbcQuery8|1540223193777|1540223185849|0|0|3449180
LdbcQuery4|1540223193875|1540223185849|1|0|3547728
LdbcQuery2|1540223193974|1540223185851|0|0|3646276
LdbcQuery8|1540223194023|1540223185852|0|0|3695550
LdbcQuery7|1540223194072|1540223185853|1|0|3744824
LdbcQuery5|1540223194171|1540223185854|1|0|3843372
LdbcQuery1|1540223194171|1540223185856|2|0|3843372
LdbcQuery10|1540223194270|1540223185859|2|0|3941920
LdbcQuery8|1540223194270|1540223185861|0|0|3941920
LdbcQuery8|1540223194516|1540223185862|0|0|4188290
LdbcQuery12|1540223194664|1540223185863|6|0|4336112
LdbcQuery11|1540223194664|1540223185869|1|0|4336112
LdbcQuery8|1540223194762|1540223185871|0|0|4434660
LdbcQuery8|1540223195009|1540223185871|0|0|4681030
LdbcQuery8|1540223195255|1540223185872|0|0|4927400
LdbcQuery1|1540223195452|1540223185873|2|0|5124496
LdbcQuery8|1540223195501|1540223185875|0|0|5173770
LdbcQuery4|1540223195649|1540223185876|1|0|5321592
LdbcQuery11|1540223195748|1540223185878|1|0|5420140
LdbcQuery8|1540223195748|1540223185880|0|0|5420140
LdbcQuery2|1540223195797|1540223185880|0|0|5469414
LdbcQuery7|1540223195945|1540223185881|1|0|5617236
LdbcQuery8|1540223195994|1540223185883|0|0|5666510
LdbcQuery10|1540223196241|1540223185883|2|0|5912880
LdbcQuery8|1540223196241|1540223185886|0|0|5912880
LdbcQuery3|1540223196388|1540223185886|3|0|6060702
LdbcQuery8|1540223196487|1540223185890|0|0|6159250
LdbcQuery1|1540223196733|1540223185891|2|0|6405620
LdbcQuery8|1540223196733|1540223185893|0|0|6405620
LdbcQuery11|1540223196832|1540223185894|1|0|6504168
LdbcQuery12|1540223196832|1540223185895|3|0|6504168
LdbcQuery8|1540223196980|1540223185899|0|0|6651990
LdbcQuery8|1540223197226|1540223185900|0|0|6898360
LdbcQuery4|1540223197423|1540223185900|1|0|7095456
LdbcQuery8|1540223197472|1540223185902|0|0|7144730
LdbcQuery2|1540223197620|1540223185903|0|0|7292552
LdbcQuery8|1540223197719|1540223185904|0|0|7391100
LdbcQuery7|1540223197817|1540223185904|1|0|7489648
LdbcQuery11|1540223197916|1540223185906|1|0|7588196
LdbcQuery8|1540223197965|1540223185907|0|0|7637470
LdbcQuery5|1540223198014|1540223185908|1|0|7686744
LdbcQuery1|1540223198014|1540223185910|2|0|7686744
LdbcQuery10|1540223198211|1540223185912|2|0|7883840
LdbcQuery8|1540223198211|1540223185914|0|0|7883840
LdbcQuery8|1540223198458|1540223185915|0|0|8130210
LdbcQuery8|1540223198704|1540223185916|0|0|8376580
LdbcQuery8|1540223198951|1540223185916|0|0|8622950
LdbcQuery11|1540223199000|1540223185917|1|0|8672224
LdbcQuery12|1540223199000|1540223185919|3|0|8672224
LdbcQuery4|1540223199197|1540223185922|1|0|8869320
LdbcQuery8|1540223199197|1540223185924|0|0|8869320
LdbcQuery1|1540223199295|1540223185925|2|0|8967868
LdbcQuery2|1540223199443|1540223185927|0|0|9115690
LdbcQuery8|1540223199443|1540223185928|0|0|9115690
LdbcQuery7|1540223199690|1540223185929|1|0|9362060
LdbcQuery8|1540223199690|1540223185930|0|0|9362060
LdbcQuery8|1540223199936|1540223185931|0|0|9608430
LdbcQuery11|1540223200084|1540223185931|1|0|9756252
LdbcQuery10|1540223200182|1540223185933|2|0|9854800
LdbcQuery8|1540223200182|1540223185935|0|0|9854800
LdbcQuery8|1540223200429|1540223185936|0|0|10101170
LdbcQuery1|1540223200577|1540223185937|2|0|10248992
LdbcQuery8|1540223200675|1540223185939|0|0|10347540
LdbcQuery8|1540223200922|1540223185940|0|0|10593910
LdbcQuery4|1540223200971|1540223185940|1|0|10643184
LdbcQuery11|1540223201168|1540223185942|1|0|10840280
LdbcQuery8|1540223201168|1540223185944|0|0|10840280
LdbcQuery12|1540223201168|1540223185944|3|0|10840280
LdbcQuery2|1540223201266|1540223185948|0|0|10938828
LdbcQuery8|1540223201414|1540223185949|0|0|11086650
LdbcQuery7|1540223201562|1540223185949|1|0|11234472
LdbcQuery8|1540223201661|1540223185951|0|0|11333020
LdbcQuery5|1540223201858|1540223185951|1|0|11530116
LdbcQuery1|1540223201858|1540223185953|2|0|11530116
LdbcQuery8|1540223201907|1540223185955|0|0|11579390
LdbcQuery10|1540223202153|1540223185956|2|0|11825760
LdbcQuery8|1540223202153|1540223185958|0|0|11825760
