operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1540457035318|1540457030455|1035435|9|246370
LdbcQuery8|1540457035564|1540458065890|1010976|8|492740
LdbcQuery8|1540457035811|1540459076867|1005602|14|739110
LdbcQuery8|1540457036057|1540460082470|1018037|6|985480
LdbcQuery11|1540457036156|1540461100507|63913|10|1084028
LdbcQuery8|1540457036303|1540461164421|1024606|9|1231850
LdbcQuery8|1540457036550|1540462189027|1028579|20|1478220
LdbcQuery8|1540457036796|1540463217606|999338|17|1724590
LdbcQuery2|1540457036895|1540464216945|395290|20|1823138
LdbcQuery8|1540457037043|1540464612235|1026179|17|1970960
LdbcQuery11|1540457037240|1540465638415|67197|6|2168056
LdbcQuery12|1540457037240|1540465705612|529379|0|2168056
LdbcQuery8|1540457037289|1540466234992|1006302|5|2217330
LdbcQuery8|1540457037535|1540467241295|942705|10|2463700
LdbcQuery8|1540457037782|1540468184001|1007443|16|2710070
LdbcQuery8|1540457038028|1540469191445|999757|16|2956440
LdbcQuery8|1540457038274|1540470191202|1013390|12|3202810
LdbcQuery11|1540457038324|1540471204593|76232|10|3252084
LdbcQuery8|1540457038521|1540471280826|1002038|8|3449180
LdbcQuery2|1540457038718|1540472282864|378885|20|3646276
LdbcQuery8|1540457038767|1540472661750|1030787|15|3695550
LdbcQuery5|1540457038915|1540473692538|753584|20|3843372
LdbcQuery8|1540457039014|1540474446122|1033335|8|3941920
LdbcQuery8|1540457039260|1540475479458|938700|9|4188290
LdbcQuery12|1540457039408|1540476418158|526569|0|4336112
LdbcQuery11|1540457039408|1540476944728|74179|0|4336112
LdbcQuery8|1540457039506|1540477018908|1029360|11|4434660
LdbcQuery8|1540457039753|1540478048269|997943|9|4681030
LdbcQuery8|1540457039999|1540479046213|1012102|2|4927400
LdbcQuery8|1540457040245|1540480058315|1019702|17|5173770
LdbcQuery11|1540457040492|1540481078018|77840|10|5420140
LdbcQuery8|1540457040492|1540481155859|977027|6|5420140
LdbcQuery2|1540457040541|1540482132886|389004|20|5469414
LdbcQuery8|1540457040738|1540482521890|1017743|14|5666510
LdbcQuery8|1540457040985|1540483539634|995605|6|5912880
LdbcQuery8|1540457041231|1540484535239|1017205|10|6159250
LdbcQuery8|1540457041477|1540485552444|1023173|10|6405620
LdbcQuery12|1540457041576|1540486575618|523810|1|6504168
LdbcQuery11|1540457041576|1540487099429|76506|10|6504168
LdbcQuery8|1540457041724|1540487175935|1034146|1|6651990
LdbcQuery8|1540457041970|1540488210082|1024650|10|6898360
LdbcQuery8|1540457042216|1540489234732|1029679|10|7144730
LdbcQuery2|1540457042364|1540490264412|389559|20|7292552
LdbcQuery8|1540457042463|1540490653971|996912|9|7391100
LdbcQuery11|1540457042660|1540491650884|67230|10|7588196
LdbcQuery8|1540457042709|1540491718114|1022842|11|7637470
LdbcQuery5|1540457042758|1540492740957|314278|0|7686744
LdbcQuery8|1540457042955|1540493055235|1016851|9|7883840
LdbcQuery8|1540457043202|1540494072088|1008450|7|8130210
LdbcQuery8|1540457043448|1540495080538|1004321|14|8376580
LdbcQuery8|1540457043695|1540496084860|1026323|11|8622950
LdbcQuery11|1540457043744|1540497111183|70756|0|8672224
LdbcQuery12|1540457043744|1540497181940|518369|0|8672224
LdbcQuery8|1540457043941|1540497700310|999812|4|8869320
LdbcQuery2|1540457044187|1540498700122|395541|20|9115690
LdbcQuery8|1540457044187|1540499095664|1009209|5|9115690
LdbcQuery8|1540457044434|1540500104873|1012774|5|9362060
LdbcQuery8|1540457044680|1540501117647|1014696|1|9608430
LdbcQuery11|1540457044828|1540502132343|69384|1|9756252
LdbcQuery8|1540457044926|1540502201728|994819|9|9854800
LdbcQuery8|1540457045173|1540503196547|1007586|20|10101170
LdbcQuery8|1540457045419|1540504204134|1038412|10|10347540
LdbcQuery8|1540457045666|1540505242547|1011591|12|10593910
LdbcQuery11|1540457045912|1540506254138|69890|10|10840280
LdbcQuery8|1540457045912|1540506324028|1024879|14|10840280
LdbcQuery12|1540457045912|1540507348908|527785|0|10840280
LdbcQuery2|1540457046010|1540507876693|388543|20|10938828
LdbcQuery8|1540457046158|1540508265237|1003599|17|11086650
LdbcQuery8|1540457046405|1540509268837|1019026|12|11333020
LdbcQuery5|1540457046602|1540510287863|757326|20|11530116
LdbcQuery8|1540457046651|1540511045190|1014349|17|11579390
LdbcQuery8|1540457046897|1540512059539|938007|9|11825760
LdbcQuery11|1540457046996|1540512997547|68497|1|11924308
LdbcQuery8|1540457047144|1540513066044|1010619|17|12072130
LdbcQuery8|1540457047390|1540514076663|1007162|17|12318500
LdbcQuery8|1540457047637|1540515083826|1010396|9|12564870
LdbcQuery2|1540457047834|1540516094223|393303|20|12761966
LdbcQuery8|1540457047883|1540516487527|1015062|7|12811240
LdbcQuery12|1540457048080|1540517502590|523063|0|13008336
LdbcQuery11|1540457048080|1540518025653|75762|10|13008336
LdbcQuery8|1540457048129|1540518101416|1015173|5|13057610
LdbcQuery8|1540457048376|1540519116589|1006301|16|13303980
LdbcQuery8|1540457048622|1540520122890|988611|11|13550350
LdbcQuery8|1540457048868|1540521111502|989037|8|13796720
LdbcQuery8|1540457049115|1540522100540|1000275|11|14043090
LdbcQuery11|1540457049164|1540523100816|69229|0|14092364
LdbcQuery8|1540457049361|1540523170046|1022423|20|14289460
LdbcQuery8|1540457049607|1540524192470|1013396|8|14535830
LdbcQuery2|1540457049657|1540525205867|404921|20|14585104
LdbcQuery8|1540457049854|1540525610788|1007307|4|14782200
LdbcQuery8|1540457050100|1540526618096|1012113|11|15028570
LdbcQuery12|1540457050248|1540527630210|521966|0|15176392
LdbcQuery11|1540457050248|1540528152176|72998|10|15176392
LdbcQuery8|1540457050347|1540528225175|938074|3|15274940
LdbcQuery5|1540457050445|1540529163250|746908|20|15373488
LdbcQuery8|1540457050593|1540529910159|1017616|9|15521310
LdbcQuery8|1540457050839|1540530927776|993159|9|15767680
LdbcQuery8|1540457051086|1540531920935|999180|5|16014050
LdbcQuery11|1540457051332|1540532920116|74490|6|16260420
LdbcQuery8|1540457051332|1540532994606|1023863|5|16260420
