operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1537006319518|1537006314646|113|9|246370
LdbcQuery8|1537006319764|1537006314760|7|8|492740
LdbcQuery8|1537006320011|1537006314767|7|14|739110
LdbcQuery8|1537006320257|1537006314775|6|6|985480
LdbcQuery11|1537006320356|1537006314782|15|10|1084028
LdbcQuery8|1537006320503|1537006314797|6|9|1231850
LdbcQuery1|1537006320553|1537006314804|287|20|1281124
LdbcQuery8|1537006320750|1537006315092|7|20|1478220
LdbcQuery8|1537006320996|1537006315099|7|17|1724590
LdbcQuery4|1537006321045|1537006315106|384|0|1773864
LdbcQuery2|1537006321095|1537006315491|96|20|1823138
LdbcQuery7|1537006321144|1537006315587|1131|0|1872412
LdbcQuery10|1537006321243|1537006316719|2032|10|1970960
LdbcQuery8|1537006321243|1537006318751|9|17|1970960
LdbcQuery11|1537006321440|1537006318761|8|6|2168056
LdbcQuery12|1537006321440|1537006318769|485|0|2168056
LdbcQuery8|1537006321489|1537006319254|8|5|2217330
LdbcQuery8|1537006321735|1537006319263|7|10|2463700
LdbcQuery1|1537006321834|1537006319270|281|20|2562248
LdbcQuery8|1537006321982|1537006319552|8|16|2710070
LdbcQuery8|1537006322228|1537006319560|7|16|2956440
LdbcQuery8|1537006322474|1537006319567|6|12|3202810
LdbcQuery11|1537006322524|1537006319574|11|10|3252084
LdbcQuery8|1537006322721|1537006319586|7|8|3449180
LdbcQuery4|1537006322819|1537006319594|483|10|3547728
LdbcQuery2|1537006322918|1537006320077|89|20|3646276
LdbcQuery8|1537006322967|1537006320167|9|15|3695550
LdbcQuery7|1537006323016|1537006320176|1128|0|3744824
LdbcQuery5|1537006323115|1537006321304|8742|20|3843372
LdbcQuery1|1537006323115|1537006330047|39|20|3843372
LdbcQuery10|1537006323214|1537006330086|1955|10|3941920
LdbcQuery8|1537006323214|1537006332042|9|8|3941920
LdbcQuery8|1537006323460|1537006332052|7|9|4188290
LdbcQuery12|1537006323608|1537006332059|358|0|4336112
LdbcQuery11|1537006323608|1537006332418|7|0|4336112
LdbcQuery8|1537006323706|1537006332425|8|11|4434660
LdbcQuery8|1537006323953|1537006332433|7|9|4681030
LdbcQuery8|1537006324199|1537006332440|6|2|4927400
LdbcQuery1|1537006324396|1537006332447|62|20|5124496
LdbcQuery8|1537006324445|1537006332510|7|17|5173770
LdbcQuery4|1537006324593|1537006332518|189|0|5321592
LdbcQuery11|1537006324692|1537006332708|7|10|5420140
LdbcQuery8|1537006324692|1537006332716|7|6|5420140
LdbcQuery2|1537006324741|1537006332723|89|20|5469414
LdbcQuery7|1537006324889|1537006332813|1144|2|5617236
LdbcQuery8|1537006324938|1537006333957|7|14|5666510
LdbcQuery10|1537006325185|1537006333965|2088|10|5912880
LdbcQuery8|1537006325185|1537006336054|9|6|5912880
LdbcQuery3|1537006325332|1537006336063|226|0|6060702
LdbcQuery8|1537006325431|1537006336289|9|10|6159250
LdbcQuery1|1537006325677|1537006336299|276|20|6405620
LdbcQuery8|1537006325677|1537006336575|7|10|6405620
LdbcQuery11|1537006325776|1537006336583|7|10|6504168
LdbcQuery12|1537006325776|1537006336590|598|1|6504168
LdbcQuery8|1537006325924|1537006337188|8|1|6651990
LdbcQuery8|1537006326170|1537006337197|7|10|6898360
LdbcQuery4|1537006326367|1537006337204|451|5|7095456
LdbcQuery8|1537006326416|1537006337656|8|10|7144730
LdbcQuery2|1537006326564|1537006337665|102|20|7292552
LdbcQuery8|1537006326663|1537006337767|8|9|7391100
LdbcQuery7|1537006326761|1537006337776|1213|20|7489648
LdbcQuery11|1537006326860|1537006338990|9|10|7588196
LdbcQuery8|1537006326909|1537006338999|8|11|7637470
LdbcQuery5|1537006326958|1537006339007|610|0|7686744
LdbcQuery1|1537006326958|1537006339618|275|20|7686744
LdbcQuery10|1537006327155|1537006339893|1901|10|7883840
LdbcQuery8|1537006327155|1537006341795|9|9|7883840
LdbcQuery8|1537006327402|1537006341804|7|7|8130210
LdbcQuery8|1537006327648|1537006341811|6|14|8376580
LdbcQuery8|1537006327895|1537006341818|6|11|8622950
LdbcQuery11|1537006327944|1537006341824|6|0|8672224
LdbcQuery12|1537006327944|1537006341831|776|0|8672224
LdbcQuery4|1537006328141|1537006342607|425|10|8869320
LdbcQuery8|1537006328141|1537006343033|8|4|8869320
LdbcQuery1|1537006328239|1537006343041|278|20|8967868
LdbcQuery2|1537006328387|1537006343320|89|20|9115690
LdbcQuery8|1537006328387|1537006343409|8|5|9115690
LdbcQuery7|1537006328634|1537006343418|1138|0|9362060
LdbcQuery8|1537006328634|1537006344557|7|5|9362060
LdbcQuery8|1537006328880|1537006344564|6|1|9608430
LdbcQuery11|1537006329028|1537006344571|7|1|9756252
LdbcQuery10|1537006329126|1537006344578|1964|10|9854800
LdbcQuery8|1537006329126|1537006346543|9|9|9854800
LdbcQuery8|1537006329373|1537006346552|7|20|10101170
LdbcQuery1|1537006329521|1537006346560|265|20|10248992
LdbcQuery8|1537006329619|1537006346825|6|10|10347540
LdbcQuery8|1537006329866|1537006346832|6|12|10593910
LdbcQuery4|1537006329915|1537006346839|330|10|10643184
LdbcQuery11|1537006330112|1537006347169|7|10|10840280
LdbcQuery8|1537006330112|1537006347177|7|14|10840280
LdbcQuery12|1537006330112|1537006347184|534|0|10840280
LdbcQuery2|1537006330210|1537006347718|99|20|10938828
LdbcQuery8|1537006330358|1537006347817|8|17|11086650
LdbcQuery7|1537006330506|1537006347826|1135|0|11234472
LdbcQuery8|1537006330605|1537006348962|7|12|11333020
LdbcQuery5|1537006330802|1537006348970|8289|20|11530116
LdbcQuery1|1537006330802|1537006357260|271|20|11530116
LdbcQuery8|1537006330851|1537006357531|7|17|11579390
LdbcQuery10|1537006331097|1537006357538|2166|10|11825760
LdbcQuery8|1537006331097|1537006359705|9|9|11825760
