operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1537004788101|1537004783131|1|9|10347540
LdbcQuery8|1537004788347|1537004783133|2|10|10593910
LdbcQuery4|1537004788397|1537004783136|97|7|10643184
LdbcQuery12|1537004788594|1537004783233|566|7|10840280
LdbcQuery11|1537004788594|1537004783800|5|9|10840280
LdbcQuery8|1537004788594|1537004783805|1|20|10840280
LdbcQuery2|1537004788692|1537004783807|84|20|10938828
LdbcQuery8|1537004788840|1537004783892|1|20|11086650
LdbcQuery13|1537004788988|1537004783894|292|1|11234472
LdbcQuery7|1537004788988|1537004784187|394|20|11234472
LdbcQuery8|1537004789086|1537004784582|1|9|11333020
LdbcQuery1|1537004789284|1537004784583|30|19|11530116
LdbcQuery5|1537004789284|1537004784613|3129|20|11530116
LdbcQuery8|1537004789333|1537004787743|1|8|11579390
LdbcQuery10|1537004789579|1537004787745|990|10|11825760
LdbcQuery8|1537004789579|1537004788736|1|8|11825760
LdbcQuery11|1537004789678|1537004788738|5|5|11924308
LdbcQuery14|1537004789826|1537004788744|31869|8|12072130
LdbcQuery8|1537004789826|1537004820613|2|0|12072130
LdbcQuery3|1537004789875|1537004820615|61|0|12121404
LdbcQuery13|1537004789924|1537004820677|5|1|12170678
LdbcQuery8|1537004790072|1537004820683|1|19|12318500
LdbcQuery4|1537004790171|1537004820684|98|0|12417048
LdbcQuery8|1537004790318|1537004820783|1|8|12564870
LdbcQuery2|1537004790515|1537004820784|102|20|12761966
LdbcQuery1|1537004790565|1537004820887|86|20|12811240
LdbcQuery8|1537004790565|1537004820973|1|8|12811240
LdbcQuery12|1537004790762|1537004820975|359|8|13008336
LdbcQuery11|1537004790762|1537004821335|7|1|13008336
LdbcQuery8|1537004790811|1537004821342|1|20|13057610
LdbcQuery13|1537004790860|1537004821343|159|1|13106884
LdbcQuery7|1537004790860|1537004821503|352|20|13106884
LdbcQuery8|1537004791057|1537004821856|1|20|13303980
LdbcQuery8|1537004791304|1537004821858|1|20|13550350
LdbcQuery10|1537004791550|1537004821859|1298|10|13796720
LdbcQuery8|1537004791550|1537004823158|1|1|13796720
LdbcQuery13|1537004791797|1537004823159|9|1|14043090
LdbcQuery8|1537004791797|1537004823169|1|20|14043090
LdbcQuery11|1537004791846|1537004823171|5|0|14092364
LdbcQuery1|1537004791846|1537004823176|87|20|14092364
