operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery4|1540735982076|1540735977856|11704|1|36
LdbcQuery2|1540735982076|1540735989561|297849|20|37
LdbcQuery4|1540735982076|1540736287411|80115|10|72
LdbcQuery2|1540735982076|1540736367527|232644|20|74
LdbcQuery4|1540735982076|1540736600171|8260|1|108
LdbcQuery2|1540735982076|1540736608431|220963|20|111
LdbcQuery4|1540735982076|1540736829395|20184|5|144
LdbcQuery2|1540735982076|1540736849580|217828|20|148
LdbcQuery4|1540735982076|1540737067408|30798|10|180
LdbcQuery2|1540735982076|1540737098206|258183|20|185
LdbcQuery4|1540735982076|1540737356390|24679|10|216
LdbcQuery2|1540735982076|1540737381069|256247|20|222
LdbcQuery4|1540735982076|1540737637317|42387|10|252
LdbcQuery2|1540735982076|1540737679705|226733|20|259
LdbcQuery4|1540735982076|1540737906438|29843|10|288
LdbcQuery2|1540735982076|1540737936282|218260|20|296
LdbcQuery4|1540735982076|1540738154542|12765|1|324
LdbcQuery2|1540735982076|1540738167308|182437|20|333
LdbcQuery4|1540735982076|1540738349745|43460|10|360
LdbcQuery2|1540735982076|1540738393206|193903|20|370
LdbcQuery4|1540735982076|1540738587109|12616|2|396
LdbcQuery2|1540735982076|1540738599726|266376|20|407
LdbcQuery4|1540735982076|1540738866102|26162|10|432
LdbcQuery2|1540735982076|1540738892265|218718|20|444
LdbcQuery4|1540735982076|1540739110984|21300|1|468
LdbcQuery2|1540735982076|1540739132284|191670|20|481
LdbcQuery4|1540735982076|1540739323954|55360|10|504
LdbcQuery2|1540735982076|1540739379315|268335|20|518
LdbcQuery4|1540735982077|1540739647650|32314|6|540
LdbcQuery2|1540735982077|1540739679965|203171|20|555
LdbcQuery4|1540735982077|1540739883136|43171|3|576
LdbcQuery2|1540735982077|1540739926308|192532|20|592
LdbcQuery4|1540735982077|1540740118841|11106|3|612
LdbcQuery2|1540735982077|1540740129948|315275|20|629
LdbcQuery4|1540735982077|1540740445223|35118|10|648
LdbcQuery2|1540735982077|1540740480342|206896|20|666
LdbcQuery4|1540735982077|1540740687239|23930|1|684
LdbcQuery2|1540735982077|1540740711169|206668|20|703
LdbcQuery4|1540735982077|1540740917837|607817|10|720
LdbcQuery2|1540735982077|1540741525654|193168|20|740
