operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1540039089197|1540039085360|69090|20|5
LdbcQuery8|1540039089197|1540039154451|61194|20|10
LdbcQuery8|1540039089197|1540039215645|66765|20|15
LdbcQuery8|1540039089197|1540039282411|60606|20|20
LdbcQuery11|1540039089197|1540039343018|542759|10|22
LdbcQuery8|1540039089197|1540039885777|60221|20|25
LdbcQuery8|1540039089197|1540039945999|60447|20|30
LdbcQuery8|1540039089197|1540040006446|60080|20|35
LdbcQuery4|1540039089197|1540040066527|21500|10|36
LdbcQuery2|1540039089197|1540040088027|40330|20|37
LdbcQuery7|1540039089197|1540040128358|23429|0|38
LdbcQuery8|1540039089197|1540040151787|60469|20|40
LdbcQuery11|1540039089197|1540040212257|564192|6|44
LdbcQuery8|1540039089197|1540040776449|60547|20|45
LdbcQuery8|1540039089197|1540040836997|60426|20|50
LdbcQuery8|1540039089197|1540040897424|60808|20|55
LdbcQuery8|1540039089197|1540040958232|60632|20|60
LdbcQuery8|1540039089197|1540041018865|60463|20|65
LdbcQuery11|1540039089197|1540041079329|563443|5|66
LdbcQuery8|1540039089197|1540041642772|60485|20|70
LdbcQuery4|1540039089197|1540041703258|30510|1|72
LdbcQuery2|1540039089197|1540041733768|40838|20|74
LdbcQuery8|1540039089197|1540041774607|61014|20|75
LdbcQuery7|1540039089197|1540041835621|63583|17|76
LdbcQuery5|1540039089197|1540041899205|589445|20|78
LdbcQuery8|1540039089197|1540042488650|60631|20|80
LdbcQuery8|1540039089197|1540042549281|60579|20|85
LdbcQuery11|1540039089197|1540042609860|564100|3|88
LdbcQuery8|1540039089197|1540043173961|60504|20|90
LdbcQuery8|1540039089197|1540043234465|60598|20|95
LdbcQuery8|1540039089197|1540043295063|67299|20|100
LdbcQuery8|1540039089197|1540043362363|62229|20|105
LdbcQuery4|1540039089197|1540043424593|55018|10|108
LdbcQuery11|1540039089197|1540043479611|558720|3|110
LdbcQuery8|1540039089197|1540044038331|61112|20|110
LdbcQuery2|1540039089197|1540044099444|41263|20|111
LdbcQuery7|1540039089197|1540044140707|21462|0|114
LdbcQuery8|1540039089197|1540044162170|60639|20|115
LdbcQuery8|1540039089197|1540044222810|60452|20|120
LdbcQuery8|1540039089197|1540044283262|60665|20|125
LdbcQuery8|1540039089197|1540044343928|60595|20|130
LdbcQuery11|1540039089197|1540044404524|562967|6|132
LdbcQuery8|1540039089197|1540044967491|60911|20|135
LdbcQuery8|1540039089197|1540045028403|60336|20|140
LdbcQuery4|1540039089197|1540045088740|120787|10|144
LdbcQuery8|1540039089197|1540045209527|60657|20|145
LdbcQuery2|1540039089197|1540045270185|42541|20|148
LdbcQuery8|1540039089197|1540045312727|60778|20|150
LdbcQuery7|1540039089197|1540045373506|21601|0|152
LdbcQuery11|1540039089197|1540045395108|562648|1|154
LdbcQuery8|1540039089197|1540045957756|60775|20|155
LdbcQuery5|1540039089197|1540046018532|583004|20|156
LdbcQuery8|1540039089197|1540046601536|67615|20|160
LdbcQuery8|1540039089197|1540046669152|62518|20|165
LdbcQuery8|1540039089197|1540046731670|65243|20|170
LdbcQuery8|1540039089197|1540046796914|62812|20|175
LdbcQuery11|1540039089197|1540046859726|572097|1|176
LdbcQuery8|1540039089197|1540047431824|60882|20|180
LdbcQuery4|1540039089197|1540047492707|29754|10|180
LdbcQuery2|1540039089197|1540047522461|41061|20|185
LdbcQuery8|1540039089197|1540047563522|60557|20|185
LdbcQuery7|1540039089197|1540047624080|21440|0|190
LdbcQuery8|1540039089197|1540047645520|60908|20|190
LdbcQuery8|1540039089197|1540047706429|60854|20|195
LdbcQuery11|1540039089197|1540047767283|569533|5|198
LdbcQuery8|1540039089197|1540048336817|60858|20|200
LdbcQuery8|1540039089197|1540048397675|61212|20|205
LdbcQuery8|1540039089197|1540048458887|61276|20|210
LdbcQuery8|1540039089197|1540048520164|61153|20|215
LdbcQuery4|1540039089197|1540048581318|14061|1|216
LdbcQuery11|1540039089197|1540048595379|567908|0|220
LdbcQuery8|1540039089197|1540049163288|60780|20|220
LdbcQuery2|1540039089197|1540049224068|41157|20|222
LdbcQuery8|1540039089197|1540049265226|61113|20|225
LdbcQuery7|1540039089197|1540049326339|59638|1|228
