operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1539208651392|1539208646421|129|1|242
LdbcQuery8|1539208651392|1539208646551|68|17|245
LdbcQuery3|1539208651392|1539208646619|676|2|246
LdbcQuery8|1539208651392|1539208647296|69|17|250
LdbcQuery4|1539208651392|1539208647366|98093|10|252
LdbcQuery8|1539208651392|1539208745460|68|9|255
LdbcQuery2|1539208651392|1539208745529|1330|20|259
LdbcQuery1|1539208651392|1539208746860|9353|20|260
LdbcQuery8|1539208651392|1539208756214|67|7|260
LdbcQuery11|1539208651392|1539208756281|90|10|264
LdbcQuery12|1539208651392|1539208756372|440|0|264
LdbcQuery8|1539208651392|1539208756813|68|5|265
LdbcQuery7|1539208651392|1539208756881|1640|20|266
LdbcQuery8|1539208651392|1539208758522|68|16|270
LdbcQuery8|1539208651392|1539208758591|69|11|275
LdbcQuery10|1539208651392|1539208758661|299830|10|280
LdbcQuery8|1539208651392|1539209058491|67|8|280
LdbcQuery8|1539208651392|1539209058559|67|11|285
LdbcQuery1|1539208651392|1539209058627|9310|20|286
LdbcQuery11|1539208651392|1539209067938|25|0|286
LdbcQuery4|1539208651392|1539209067964|61816|10|288
LdbcQuery8|1539208651392|1539209129781|126|20|290
LdbcQuery8|1539208651392|1539209129907|67|8|295
LdbcQuery2|1539208651392|1539209129975|674|20|296
LdbcQuery8|1539208651392|1539209130649|69|4|300
LdbcQuery7|1539208651392|1539209130719|1592|0|304
LdbcQuery8|1539208651392|1539209132312|68|11|305
LdbcQuery12|1539208651392|1539209132380|419|0|308
LdbcQuery11|1539208651392|1539209132799|103|10|308
LdbcQuery8|1539208651392|1539209132903|67|3|310
LdbcQuery1|1539208651392|1539209132970|8545|20|312
LdbcQuery5|1539208651392|1539209141516|1858|20|312
LdbcQuery8|1539208651392|1539209143375|69|9|315
LdbcQuery10|1539208651392|1539209143444|267229|10|320
LdbcQuery8|1539208651392|1539209410674|124|9|320
LdbcQuery4|1539208651392|1539209410799|66355|1|324
LdbcQuery8|1539208651392|1539209477154|68|5|325
LdbcQuery11|1539208651392|1539209477222|96|6|330
LdbcQuery8|1539208651392|1539209477319|68|5|330
LdbcQuery2|1539208651392|1539209477388|644|20|333
LdbcQuery8|1539208651392|1539209478033|68|13|335
LdbcQuery1|1539208651392|1539209478101|9173|20|338
LdbcQuery8|1539208651392|1539209487275|68|7|340
LdbcQuery7|1539208651392|1539209487344|1620|0|342
LdbcQuery8|1539208651392|1539209488964|67|4|345
LdbcQuery8|1539208651392|1539209489032|67|3|350
LdbcQuery11|1539208651392|1539209489099|96|6|352
LdbcQuery12|1539208651392|1539209489195|466|0|352
LdbcQuery8|1539208651392|1539209489662|69|9|355
LdbcQuery4|1539208651392|1539209489731|118402|10|360
LdbcQuery10|1539208651392|1539209608134|280525|10|360
LdbcQuery8|1539208651392|1539209888660|69|19|360
LdbcQuery1|1539208651392|1539209888729|9085|20|364
LdbcQuery8|1539208651392|1539209897814|68|19|365
LdbcQuery3|1539208651392|1539209897883|636|1|369
LdbcQuery2|1539208651392|1539209898520|1236|20|370
LdbcQuery8|1539208651392|1539209899756|72|17|370
LdbcQuery11|1539208651392|1539209899829|24|0|374
LdbcQuery8|1539208651392|1539209899853|67|6|375
LdbcQuery7|1539208651392|1539209899921|1623|0|380
LdbcQuery8|1539208651392|1539209901544|69|9|380
LdbcQuery8|1539208651392|1539209901614|67|3|385
LdbcQuery5|1539208651392|1539209901681|2270|20|390
LdbcQuery1|1539208651392|1539209903952|9209|20|390
LdbcQuery8|1539208651392|1539209913162|67|1|390
LdbcQuery8|1539208651392|1539209913230|67|8|395
LdbcQuery12|1539208651392|1539209913297|525|1|396
LdbcQuery4|1539208651392|1539209913822|27516|2|396
LdbcQuery11|1539208651392|1539209941339|93|2|396
LdbcQuery8|1539208651392|1539209941433|67|4|400
LdbcQuery10|1539208651392|1539209941500|277944|10|400
LdbcQuery8|1539208651392|1539210219444|68|9|405
LdbcQuery2|1539208651392|1539210219513|730|20|407
LdbcQuery8|1539208651392|1539210220244|67|7|410
LdbcQuery8|1539208651392|1539210220311|70|8|415
LdbcQuery1|1539208651392|1539210220382|9239|20|416
LdbcQuery7|1539208651392|1539210229621|1632|0|418
LdbcQuery11|1539208651392|1539210231254|99|5|418
LdbcQuery8|1539208651392|1539210231353|67|2|420
LdbcQuery8|1539208651392|1539210231421|67|3|425
LdbcQuery8|1539208651392|1539210231489|66|0|430
LdbcQuery4|1539208651392|1539210231555|162267|10|432
LdbcQuery6|1539208651392|1539210393823|6475|10|434
LdbcQuery8|1539208651392|1539210400299|67|4|435
LdbcQuery11|1539208651392|1539210400366|96|6|440
LdbcQuery10|1539208651392|1539210400463|273961|10|440
LdbcQuery12|1539208651392|1539210674424|477|0|440
LdbcQuery8|1539208651392|1539210674902|96|2|440
LdbcQuery1|1539208651392|1539210674999|8673|20|442
LdbcQuery2|1539208651392|1539210683672|699|20|444
LdbcQuery8|1539208651392|1539210684372|66|0|445
LdbcQuery8|1539208651392|1539210684439|66|4|450
LdbcQuery8|1539208651392|1539210684506|67|7|455
LdbcQuery7|1539208651392|1539210684574|1660|20|456
LdbcQuery8|1539208651392|1539210686234|67|7|460
LdbcQuery11|1539208651392|1539210686302|94|0|462
LdbcQuery8|1539208651392|1539210686396|67|3|465
LdbcQuery4|1539208651392|1539210686464|44216|0|468
LdbcQuery5|1539208651392|1539210730681|2019|20|468
LdbcQuery1|1539208651392|1539210732701|9236|20|468
LdbcQuery8|1539208651392|1539210741937|67|6|470
LdbcQuery8|1539208651392|1539210742005|66|2|475
LdbcQuery10|1539208651392|1539210742072|271107|10|480
LdbcQuery8|1539208651392|1539211013179|67|5|480
LdbcQuery2|1539208651392|1539211013247|1197|20|481
LdbcQuery12|1539208651392|1539211014444|408|1|484
LdbcQuery11|1539208651392|1539211014853|102|7|484
LdbcQuery8|1539208651392|1539211014956|67|3|485
LdbcQuery8|1539208651392|1539211015024|67|7|490
LdbcQuery3|1539208651392|1539211015091|635|1|492
LdbcQuery7|1539208651392|1539211015726|1682|20|494
LdbcQuery1|1539208651392|1539211017408|9276|20|494
LdbcQuery8|1539208651392|1539211026686|67|3|495
LdbcQuery8|1539208651392|1539211026753|67|9|500
LdbcQuery4|1539208651392|1539211026820|187439|10|504
LdbcQuery8|1539208651392|1539211214260|68|7|505
LdbcQuery11|1539208651392|1539211214329|101|5|506
LdbcQuery8|1539208651392|1539211214430|66|0|510
LdbcQuery8|1539208651392|1539211214496|95|5|515
LdbcQuery2|1539208651392|1539211214591|694|20|518
LdbcQuery10|1539208651392|1539211215285|274355|10|520
LdbcQuery1|1539208651392|1539211489641|9223|20|520
LdbcQuery8|1539208651392|1539211498864|84|8|520
LdbcQuery8|1539208651392|1539211498949|67|1|525
LdbcQuery9|1539208651392|1539211499016|30189|20|527
LdbcQuery11|1539208651392|1539211529205|101|10|528
LdbcQuery12|1539208651392|1539211529307|423|0|528
LdbcQuery8|1539208651392|1539211529730|68|0|530
LdbcQuery7|1539208651392|1539211529799|1697|7|532
LdbcQuery8|1539208651392|1539211531496|70|13|535
LdbcQuery4|1539208651392|1539211531567|275883|6|540
LdbcQuery8|1539208651392|1539211807450|67|1|540
LdbcQuery8|1539208651392|1539211807518|123|5|545
LdbcQuery5|1539208651392|1539211807641|2825|20|546
LdbcQuery1|1539208651392|1539211810467|9170|20|546
LdbcQuery8|1539208651392|1539211819637|67|5|550
LdbcQuery11|1539208651392|1539211819705|96|2|550
LdbcQuery2|1539208651392|1539211819801|489|20|555
LdbcQuery8|1539208651392|1539211820291|67|8|555
LdbcQuery10|1539208651392|1539211820358|278318|10|560
LdbcQuery8|1539208651392|1539212098677|68|4|560
LdbcQuery8|1539208651392|1539212098745|67|3|565
LdbcQuery7|1539208651392|1539212098813|1630|0|570
LdbcQuery8|1539208651392|1539212100443|66|1|570
LdbcQuery12|1539208651392|1539212100510|486|0|572
LdbcQuery1|1539208651392|1539212100997|9153|20|572
LdbcQuery11|1539208651392|1539212110151|98|10|572
LdbcQuery8|1539208651392|1539212110249|68|1|575
LdbcQuery4|1539208651392|1539212110318|376606|3|576
LdbcQuery8|1539208651392|1539212486924|68|13|580
LdbcQuery8|1539208651392|1539212486993|125|5|585
LdbcQuery8|1539208651392|1539212487118|67|8|590
LdbcQuery2|1539208651392|1539212487185|1210|20|592
LdbcQuery11|1539208651392|1539212488396|93|4|594
LdbcQuery8|1539208651392|1539212488489|67|6|595
LdbcQuery1|1539208651392|1539212488556|9248|20|598
LdbcQuery10|1539208651392|1539212497805|280732|10|600
LdbcQuery8|1539208651392|1539212778538|113|16|600
LdbcQuery8|1539208651392|1539212778652|66|1|605
LdbcQuery7|1539208651392|1539212778719|1626|0|608
LdbcQuery8|1539208651392|1539212780345|67|1|610
LdbcQuery4|1539208651392|1539212780412|9635|3|612
LdbcQuery3|1539208651392|1539212790048|722|3|615
LdbcQuery8|1539208651392|1539212790771|84|11|615
LdbcQuery12|1539208651392|1539212790855|392|0|616
LdbcQuery11|1539208651392|1539212791247|91|1|616
LdbcQuery8|1539208651392|1539212791339|67|7|620
LdbcQuery1|1539208651392|1539212791406|9083|20|624
LdbcQuery5|1539208651392|1539212800490|1825|20|624
