operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery8|1539237441127|1539237436265|6853|20|5
LdbcQuery8|1539237441127|1539237443118|109|20|10
LdbcQuery8|1539237441127|1539237443228|115|20|15
LdbcQuery8|1539237441127|1539237443344|102|20|20
LdbcQuery11|1539237441127|1539237443446|1642|10|22
LdbcQuery8|1539237441127|1539237445088|108|20|25
LdbcQuery1|1539237441127|1539237445197|9042|20|26
LdbcQuery8|1539237441127|1539237454240|105|20|30
LdbcQuery8|1539237441127|1539237454346|95|20|35
LdbcQuery4|1539237441127|1539237454441|34702|10|36
LdbcQuery2|1539237441127|1539237489144|1015|20|37
LdbcQuery7|1539237441127|1539237490160|2229|0|38
LdbcQuery10|1539237441127|1539237492389|42997|10|40
LdbcQuery8|1539237441127|1539237535387|132|20|40
LdbcQuery11|1539237441127|1539237535520|78|9|44
LdbcQuery12|1539237441127|1539237535599|1131|1|44
LdbcQuery8|1539237441127|1539237536731|90|20|45
LdbcQuery8|1539237441127|1539237536821|93|20|50
LdbcQuery1|1539237441127|1539237536916|7456|20|52
LdbcQuery8|1539237441127|1539237544372|88|20|55
LdbcQuery8|1539237441127|1539237544460|97|20|60
LdbcQuery8|1539237441127|1539237544558|96|20|65
LdbcQuery11|1539237441127|1539237544654|77|8|66
LdbcQuery8|1539237441127|1539237544732|90|20|70
LdbcQuery4|1539237441127|1539237544823|273568|0|72
LdbcQuery2|1539237441127|1539237818391|623|20|74
LdbcQuery8|1539237441127|1539237819014|95|20|75
LdbcQuery7|1539237441127|1539237819110|1708|17|76
LdbcQuery5|1539237441127|1539237820818|6315|20|78
LdbcQuery1|1539237441127|1539237827134|7372|19|78
LdbcQuery10|1539237441127|1539237834507|58256|10|80
LdbcQuery8|1539237441127|1539237892764|91|20|80
LdbcQuery8|1539237441127|1539237892855|86|20|85
LdbcQuery12|1539237441127|1539237892942|911|0|88
LdbcQuery11|1539237441127|1539237893854|74|5|88
LdbcQuery8|1539237441127|1539237893928|89|20|90
LdbcQuery8|1539237441127|1539237894018|92|20|95
LdbcQuery8|1539237441127|1539237894111|79|20|100
LdbcQuery1|1539237441127|1539237894190|7509|20|104
LdbcQuery8|1539237441127|1539237901700|94|20|105
LdbcQuery4|1539237441127|1539237901795|323577|10|108
LdbcQuery11|1539237441127|1539238225373|124|8|110
LdbcQuery8|1539237441127|1539238225497|84|20|110
LdbcQuery2|1539237441127|1539238225582|412|20|111
LdbcQuery7|1539237441127|1539238225994|1702|0|114
LdbcQuery8|1539237441127|1539238227697|85|20|115
LdbcQuery10|1539237441127|1539238227783|42380|10|120
LdbcQuery8|1539237441127|1539238270164|87|20|120
LdbcQuery3|1539237441127|1539238270251|1265|2|123
LdbcQuery8|1539237441127|1539238271516|84|20|125
LdbcQuery1|1539237441127|1539238271601|7186|5|130
LdbcQuery8|1539237441127|1539238278787|83|20|130
LdbcQuery11|1539237441127|1539238278871|75|7|132
LdbcQuery12|1539237441127|1539238278947|1008|2|132
LdbcQuery8|1539237441127|1539238279955|86|20|135
LdbcQuery8|1539237441127|1539238280042|85|20|140
LdbcQuery4|1539237441127|1539238280127|417758|10|144
LdbcQuery8|1539237441127|1539238697885|84|20|145
LdbcQuery2|1539237441127|1539238697969|1164|20|148
LdbcQuery8|1539237441127|1539238699134|87|20|150
LdbcQuery7|1539237441127|1539238699222|1697|0|152
LdbcQuery11|1539237441127|1539238700919|77|1|154
LdbcQuery8|1539237441127|1539238700996|83|20|155
LdbcQuery5|1539237441127|1539238701080|4090|20|156
LdbcQuery1|1539237441127|1539238705171|7375|20|156
LdbcQuery10|1539237441127|1539238712547|50436|10|160
LdbcQuery8|1539237441127|1539238762985|91|20|160
LdbcQuery8|1539237441127|1539238763076|90|20|165
LdbcQuery8|1539237441127|1539238763167|84|20|170
LdbcQuery8|1539237441127|1539238763252|84|20|175
LdbcQuery11|1539237441127|1539238763336|74|3|176
LdbcQuery12|1539237441127|1539238763410|922|0|176
LdbcQuery4|1539237441127|1539238764333|291698|10|180
LdbcQuery8|1539237441127|1539239056031|80|20|180
LdbcQuery1|1539237441127|1539239056111|7460|20|182
LdbcQuery2|1539237441127|1539239063571|494|20|185
LdbcQuery8|1539237441127|1539239064065|84|20|185
LdbcQuery7|1539237441127|1539239064150|1698|0|190
LdbcQuery8|1539237441127|1539239065848|78|20|190
LdbcQuery8|1539237441127|1539239065927|84|20|195
LdbcQuery11|1539237441127|1539239066012|74|10|198
LdbcQuery10|1539237441127|1539239066087|45257|10|200
LdbcQuery8|1539237441127|1539239111344|77|20|200
LdbcQuery8|1539237441127|1539239111421|76|20|205
LdbcQuery1|1539237441127|1539239111497|7599|20|208
LdbcQuery8|1539237441127|1539239119097|78|20|210
LdbcQuery8|1539237441127|1539239119176|75|20|215
LdbcQuery4|1539237441127|1539239119251|18672|0|216
LdbcQuery11|1539237441127|1539239137923|24|0|220
LdbcQuery8|1539237441127|1539239137948|77|20|220
LdbcQuery12|1539237441127|1539239138025|935|1|220
LdbcQuery2|1539237441127|1539239138961|510|20|222
LdbcQuery8|1539237441127|1539239139471|79|20|225
LdbcQuery7|1539237441127|1539239139551|1699|1|228
LdbcQuery8|1539237441127|1539239141251|78|20|230
LdbcQuery5|1539237441127|1539239141330|5910|20|234
LdbcQuery1|1539237441127|1539239147241|7432|20|234
LdbcQuery8|1539237441127|1539239154673|80|20|235
LdbcQuery10|1539237441127|1539239154753|43255|10|240
LdbcQuery8|1539237441127|1539239198009|148|20|240
